epoch,mpe_mpe-large-spread-v2_ac_att_JAMMAS_1 - episode_return__MAX,mpe_mpe-large-spread-v2_ac_att_JAMMAS_2 - episode_return__MAX,mpe_mpe-large-spread-v2_ac_att_JAMMAS_3 - episode_return__MAX,mpe_mpe-large-spread-v2_ac_att_JAMMAS_4 - episode_return__MAX
144,-470,-508.3,-529.1,-500.2
145,-487,-470.3,-554.8,-389.4
146,-513.7,-519.6,-563.1,-541.1
147,-521.8,-522.1,-499.1,-521.5
148,-558.6,-584.7,-538.5,-572
149,-502.1,-506.2,-521.5,-549
150,-529.8,-538,-536.7,-468.6
151,-474.8,-537.8,-480,-484.4
152,-505.7,-470.5,-491.2,-531.9
153,-494.6,-431.8,-545.7,-582.8
154,-549.7,-448.7,-511,-436.5
155,-419.3,-578.7,-497.1,-414.3
156,-606.6,-475.3,-530.9,-538.9
157,-587.6,-418.9,-453.4,-527.2
158,-450.1,-545.3,-442.1,-463
159,-546,-507.2,-493.9,-453.2
160,-433.9,-468.7,-405.8,-456.8
161,-455,-447.8,-450.2,-454.3
162,-522.1,-485.7,-477.9,-543.9
163,-526.8,-570.6,-515.6,-518
164,-561.8,-504.7,-517.2,-512.8
165,-480.3,-454.1,-538.3,-537.5
166,-533.8,-532.2,-562,-489.9
167,-494.9,-499,-622.1,-610
168,-475.1,-484.5,-444.9,-615
169,-473.4,-454.1,-497.8,-506.2
170,-535.9,-545.3,-459.9,-494.1
171,-448.8,-504.3,-459.4,-466.1
172,-423,-541.7,-445.7,-483.5
173,-494.1,-550.4,-476.5,-387
174,-598.9,-513.7,-458.6,-478.6
175,-480.1,-538.7,-420.8,-502.2
176,-555.2,-457.1,-504.2,-485.7
177,-442,-592.6,-482.8,-471.7
178,-478.4,-471.6,-469.6,-520.8
179,-548.3,-535.6,-486.3,-427
180,-550.6,-531.5,-438.5,-346.9
181,-409.8,-506.6,-483.9,-407.9
182,-561.4,-599.9,-384.4,-408.6
183,-501.6,-520.4,-431.6,-351.6
184,-500.7,-529.5,-450.2,-466.1
185,-532.1,-540.8,-416.4,-419
186,-384.6,-518.2,-461.4,-458.3
187,-479,-547.5,-369.5,-503.2
188,-413.8,-455.5,-370.3,-452.4
189,-493.3,-508.3,-466.3,-453.3
190,-570.4,-526.6,-406.2,-546.1
191,-512.7,-495.8,-396.8,-489.1
192,-472.4,-501.6,-463.6,-415.3
193,-512.8,-574.3,-405.9,-408.7
194,-476.6,-498.7,-396.4,-450.9
195,-464.8,-537.5,-372.3,-498.4
196,-500.5,-473.8,-433.7,-459.9
197,-484.1,-555.6,-368.8,-510
198,-424,-500.9,-348,-407.7
199,-456.8,-535.9,-380.7,-404.9
200,-491.6,-479.4,-410.5,-446.4
201,-572.8,-492,-367.6,-436.9
202,-423.7,-522.8,-349.6,-348.7
203,-518.7,-535.4,-379.8,-586.6
204,-458,-543.3,-404.4,-400.4
205,-484.7,-516.7,-345.4,-380.7
206,-495.2,-518.3,-322.7,-433.4
207,-467.3,-484.4,-312.1,-423.5
208,-514.2,-529.6,-382.9,-428.8
209,-496.4,-495.2,-413.5,-303.1
210,-502.4,-504.1,-329.9,-421.2
211,-395.5,-601,-356.7,-416.9
212,-507.5,-537.2,-273.5,-487.9
213,-420.5,-512.6,-346.7,-416.8
214,-481.2,-551.8,-310.8,-343
215,-392.2,-608.5,-364.8,-274.2
216,-483.4,-487.2,-360.7,-457.4
217,-536.8,-578,-378.2,-451.3
218,-443,-447.9,-375.6,-364.9
219,-408.2,-574.2,-303.8,-466.8
220,-572.6,-489.1,-310.8,-346
221,-532.3,-513.2,-347,-450
222,-446.8,-478.6,-336.3,-351.5
223,-483.7,-529.7,-333.7,-509.9
224,-523.7,-412.7,-360.7,-417.8
225,-435.4,-464.8,-360.6,-364.7
226,-449.3,-538.4,-356.4,-437.2
227,-463.1,-529.4,-357.1,-494.7
228,-497.8,-592.2,-307.3,-367.2
229,-412.1,-529.2,-282.8,-386.3
230,-498.4,-544.4,-288.4,-399.3
231,-507.8,-587.9,-306.2,-361.7
232,-502.3,-511.5,-307.1,-413.6
233,-439.6,-463.6,-295,-347.4
234,-432.3,-494.7,-280,-405.9
235,-372.2,-569.7,-311.3,-376.8
236,-470.2,-509.9,-317.1,-304.6
237,-383.9,-495.2,-302.5,-429.1
238,-372.3,-441.5,-294.3,-301.8
239,-538.5,-476.7,-300.8,-354.5
240,-453,-541.6,-427.5,-383.9
241,-425.2,-514.8,-383.4,-340.7
242,-403.8,-453.3,-321.3,-342.3
243,-550.4,-434.6,-370.2,-339.9
244,-446.9,-527.8,-327.8,-302.7
245,-450.1,-555.1,-336.1,-350.8
246,-517.2,-476.1,-302.2,-373.7
247,-464.5,-540.5,-331.9,-301.3
248,-485,-493.2,-360.2,-286.3
249,-488.4,-462.3,-326.1,-292.8
250,-482.6,-541.2,-307.8,-319
251,-344.8,-491.7,-320.9,-300.1
252,-462.8,-529.9,-277.8,-302
253,-455.6,-504.6,-342.8,-319.2
254,-427,-496.8,-319.8,-334.8
255,-435.7,-543.8,-297.4,-317.7
256,-502.9,-418.7,-317.5,-281.6
257,-500,-555.6,-354.6,-335.7
258,-481.3,-418.6,-464,-295.8
259,-430.1,-527.9,-368.7,-414.2
260,-451.8,-529,-367.6,-292.4
261,-417.1,-398.7,-312.4,-304.3
262,-455.9,-499.2,-312.9,-350.4
263,-473.5,-501,-326.3,-328.2
264,-480.5,-574.8,-283.9,-311.1
265,-496.9,-453.4,-318,-251.4
266,-508.9,-455.2,-307.9,-314.5
267,-450.1,-455.4,-263.7,-315.6
268,-391.6,-459.5,-282.5,-292.9
269,-429.3,-355.2,-294.5,-294.9
270,-426.3,-547,-390.2,-234.6
271,-410.9,-470.6,-288.9,-324.4
272,-464.5,-449.7,-253.3,-280.2
273,-455.6,-502.7,-253.4,-279.9
274,-518.3,-503.8,-327.1,-279.8
275,-445.1,-504.3,-287.8,-270.4
276,-408.7,-506.7,-333.8,-257
277,-613,-367.6,-329.3,-282
278,-401.8,-560.3,-269,-306.3
279,-527.7,-484.2,-272.3,-280.3
280,-426.5,-478.6,-322.9,-243.5
281,-424.2,-411.9,-238.3,-285.3
282,-449.6,-444.6,-270.8,-276.4
283,-512.8,-470.3,-284.2,-286.9
284,-406.9,-488.5,-287.1,-295.9
285,-513.7,-422.4,-320.4,-315.5
286,-517.6,-517,-319.1,-304.3
287,-508.7,-487.6,-277.2,-235.8
288,-441.1,-426.5,-256,-287.2
289,-429.4,-501.2,-304.4,-312.5
290,-359.9,-489.3,-261.1,-261.7
291,-510.3,-459.4,-241.4,-278.7
292,-479.3,-455.8,-241.2,-312.2
293,-401.4,-378.2,-279.1,-279.5
294,-457.1,-501,-244.6,-266.2
295,-348.2,-385.9,-267.2,-246.3
296,-480.7,-454.8,-307,-280.2
297,-395.4,-468.3,-338.8,-281.7
298,-475.2,-464.1,-283.9,-312.3
299,-468.3,-420.9,-293,-290.6
300,-346,-464.4,-283.2,-245.3
301,-526.7,-455,-282.9,-259.4
302,-523.2,-512,-334.6,-282.9
303,-477.2,-398.4,-314.8,-266
304,-439.6,-490.4,-308.5,-308
305,-456,-445,-249.4,-263.1
306,-400.8,-418.9,-276.8,-243.7
307,-469.9,-363.7,-318.7,-263.9
308,-456.8,-417.2,-256.7,-268.1
309,-453,-437.8,-265.7,-248.4
310,-359.9,-374.4,-250.7,-311.7
311,-401.9,-471,-241.4,-288.8
312,-486.9,-385.3,-285.6,-278.7
313,-414.5,-439.5,-263,-281.9
314,-462.5,-520.2,-211.7,-301.1
315,-490.2,-428.6,-339.1,-255.4
316,-417.3,-365.9,-290.3,-292
317,-406,-452.2,-255,-321.3
318,-408.2,-475.3,-303.2,-290.2
319,-482,-384.2,-259.2,-295.9
320,-541.1,-417.3,-254.2,-288.4
321,-529.2,-342.6,-306.8,-270.7
322,-357.2,-325.5,-242.1,-287.1
323,-343.8,-436.9,-309.3,-266.7
324,-422.5,-380.3,-229.8,-270.9
325,-496.6,-395.4,-238.8,-241.4
326,-429.5,-383.1,-276.7,-302.1
327,-394,-416.7,-261.1,-294
328,-403.5,-360.6,-246.8,-294.2
329,-487.8,-397.8,-272,-303.1
330,-480.9,-435.8,-264.8,-287.6
331,-467.6,-384.2,-305.3,-297.1
332,-295,-406.8,-294.5,-294.4
333,-491.7,-376.9,-281.8,-243.1
334,-438.7,-480.1,-282.7,-288.2
335,-455.5,-409,-251.9,-276
336,-417.9,-369.9,-332.2,-220.4
337,-443.9,-397.6,-261.2,-296.2
338,-528.1,-316.4,-281.6,-256.1
339,-367.6,-415.6,-249.7,-256.6
340,-486.1,-347.3,-250.1,-288.1
341,-449,-402.8,-233.2,-262.4
342,-465,-310.2,-266.2,-256.8
343,-454.9,-335.1,-267.1,-289.4
344,-449.3,-376.8,-236.4,-297.4
345,-383.8,-366.5,-265.1,-279
346,-443.7,-313.4,-295.4,-241.7
347,-510.2,-354.6,-254.8,-273.3
348,-444.8,-484.2,-256.4,-258.2
349,-438.2,-419.7,-264.4,-252.9
350,-378.8,-388.9,-291.9,-239.7
351,-471.5,-300.8,-266,-249.7
352,-356.5,-419.6,-287.1,-295
353,-435.1,-420.5,-238.5,-234.9
354,-409.3,-391.7,-262,-288
355,-468.3,-366,-265,-259.2
356,-434.5,-474.9,-255.2,-286.4
357,-272.7,-335.6,-261.8,-249.9
358,-344.1,-339.4,-250.1,-271.9
359,-395.6,-438.6,-238.3,-281.4
360,-374.2,-389.2,-281.3,-273.1
361,-535.8,-461.6,-254.6,-252
362,-482.2,-332.1,-256.3,-271.6
363,-453.4,-338.5,-280.5,-227.1
364,-414.6,-506,-276.4,-291.1
365,-456.2,-393.3,-302.9,-248.5
366,-501.2,-370.9,-232.7,-237.6
367,-410.9,-368.1,-218.9,-248.4
368,-320.1,-400.7,-277.5,-265.6
369,-382.7,-374.6,-248.9,-271.4
370,-407.4,-318.7,-231.5,-336.5
371,-483.2,-299,-267.8,-266.3
372,-460.1,-293.4,-258.6,-224.5
373,-369.3,-345.5,-254.9,-300.6
374,-383.7,-308.1,-236.1,-301.4
375,-329,-343.1,-286,-255.8
376,-449.4,-389.9,-279.8,-239.9
377,-432.2,-327.7,-247.2,-236.2
378,-509.6,-365.6,-298,-258.6
379,-389.9,-341.1,-311.9,-306.1
380,-433.4,-353.8,-256.3,-242
381,-504.5,-344.7,-295.6,-229.1
382,-381.1,-353.5,-294.5,-209.9
383,-365.5,-301.4,-213.3,-229
384,-381.7,-347.5,-267.9,-223.2
385,-373,-410.4,-232.8,-263.3
386,-414.3,-330.9,-265.1,-243.4
387,-454,-355.8,-248.6,-241.7
388,-433.2,-422.1,-332.6,-313.4
389,-423.2,-416.4,-286.2,-263.7
390,-305,-381.8,-267.8,-253.7
391,-452.5,-375.2,-248.9,-217.3
392,-397.6,-402.5,-232.7,-224.3
393,-397.8,-308.1,-267.4,-264.4
394,-335.1,-329.5,-221.8,-245.4
395,-323,-344.5,-248.6,-243.1
396,-382,-342.8,-216.8,-255.2
397,-407.2,-332.3,-294.9,-213.6
398,-401.8,-285.1,-255.3,-233.4
399,-396.4,-369.8,-263.6,-231.4
400,-350.5,-281,-223.1,-245.5
401,-487,-281.5,-238.6,-239.3
402,-441.7,-351.6,-248.5,-219.6
403,-372.1,-337.7,-210,-200
404,-451.9,-309.1,-240.8,-203.9
405,-302.3,-351.6,-251.5,-228.3
406,-388.6,-333.8,-322.4,-208.6
407,-474.2,-318.5,-225.4,-224.8
408,-356.6,-288.3,-217.4,-255.6
409,-324,-316.3,-275,-202.2
410,-471,-346,-246.8,-229.6
411,-370.7,-422.3,-245.6,-251.2
412,-376,-299,-249.4,-182.9
413,-447.2,-332.5,-276,-205.3
414,-382.5,-331.3,-224,-194.2
415,-370.9,-419.4,-254.6,-229.3
416,-325.5,-375.6,-230.6,-242.6
417,-392.1,-307.1,-248.4,-254.5
418,-377.3,-348,-234.2,-264.5
419,-426.8,-280.8,-192.5,-255.1
420,-451.1,-256.5,-243.7,-223.7
421,-391.5,-311.3,-233.2,-209.3
422,-347.7,-322,-248.7,-229.7
423,-416.3,-357.9,-223.8,-247.8
424,-275.6,-320.8,-275.2,-213.7
425,-368.5,-341.5,-265.3,-254.6
426,-409.2,-334,-255.8,-248.8
427,-348.8,-301.6,-225.2,-214.6
428,-419.7,-269.2,-253.6,-257.2
429,-448.9,-393.7,-227,-213.5
430,-370.5,-393.4,-252.6,-200.5
431,-361.9,-336.1,-231.7,-217.4
432,-466.7,-321.5,-261.8,-213.4
433,-399.8,-433.1,-226.9,-248.1
434,-331.2,-312.2,-299.6,-247.9
435,-296.6,-283.1,-241.2,-227.9
436,-356.7,-306.7,-201,-242.4
437,-392.8,-270.4,-230,-220.6
