epoch,tj_easy_ac_att_JAMMAS_1 - episode_return__MAX,tj_easy_ac_att_JAMMAS_2 - episode_return__MAX,tj_easy_ac_att_JAMMAS_3 - episode_return__MAX,tj_easy_ac_att_JAMMAS_4 - episode_return__MAX,,,,,,,,,,,,,,,,,,
80,-20,-20,-20,-20.8,,,,,,,,,,,,,,,,,,
81,-22.4,-22.4,-22.4,-22.4,,,,,,,,,,,,,,,,,,
82,-31.2,-31.2,-31.2,-31.2,,,,,,,,,,,,,,,,,,
83,-19.2,-19.2,-19.2,-20,,,,,,,,,,,,,,,,,,
84,-34.4,-34.4,-34.4,-34.4,,,,,,,,,,,,,,,,,,
85,-24,-24,-24,-23.2,,,,,,,,,,,,,,,,,,
86,-23.2,-23.2,-23.2,-22.4,,,,,,,,,,,,,,,,,,
87,-17.6,-17.6,-17.6,-18.4,,,,,,,,,,,,,,,,,,
88,-24,-24,-24,-23.2,,,,,,,,,,,,,,,,,,
89,-20.8,-20.8,-20.8,-19.2,,,,,,,,,,,,,,,,,,
90,-19.2,-19.2,-19.2,-21.6,,,,,,,,,,,,,,,,,,
91,-28,-28,-28,-28,,,,,,,,,,,,,,,,,,
92,-21.6,-21.6,-21.6,-21.6,,,,,,,,,,,,,,,,,,
93,-20.8,-20.8,-20.8,-20,,,,,,,,,,,,,,,,,,
94,-20.8,-20.8,-20.8,-19.2,,,,,,,,,,,,,,,,,,
95,-14.4,-14.4,-14.4,-15.2,,,,,,,,,,,,,,,,,,
96,-25.6,-25.6,-25.6,-26.4,,,,,,,,,,,,,,,,,,
97,-15.2,-15.2,-15.2,-15.2,,,,,,,,,,,,,,,,,,
98,-20,-20,-20,-18.4,,,,,,,,,,,,,,,,,,
99,-19.2,-19.2,-19.2,-19.2,,,,,,,,,,,,,,,,,,
100,-28,-28,-28,-29.6,,,,,,,,,,,,,,,,,,
101,-19.2,-19.2,-19.2,-20,,,,,,,,,,,,,,,,,,
102,-19.2,-19.2,-19.2,-19.2,,,,,,,,,,,,,,,,,,
103,-24,-24,-24,-23.2,,,,,,,,,,,,,,,,,,
104,-26.4,-26.4,-26.4,-24.8,,,,,,,,,,,,,,,,,,
105,-16.8,-16.8,-16.8,-17.6,,,,,,,,,,,,,,,,,,
