epoch,mpe_mpe-large-spread-v1_ac_att_noise_JAMMAS_1 - episode_return,mpe_mpe-large-spread-v1_ac_att_JAMMAS_1 - episode_return
269,-288.1,-319.7
270,-314.4,-228.3
271,-340.4,-322.5
272,-301.4,-285.9
273,-290.7,-271
274,-209.7,-325.4
275,-359.2,-237.2
276,-289.3,-292.4
277,-328.4,-307.5
278,-333.8,-304.2
279,-358.5,-309.7
280,-313.6,-297.4
281,-393.9,-251.1
282,-299.9,-280.7
283,-344.9,-272.1
284,-285.5,-270.3
285,-344.4,-342
286,-280.8,-309.4
287,-396.6,-291.6
288,-285.6,-249.3
289,-356.2,-375.1
290,-272.7,-217.8
291,-384.7,-331.4
292,-371.3,-306.5
293,-354.4,-284.2
294,-336.2,-326.9
295,-274.9,-288.6
296,-237.8,-281.8
297,-355.9,-346.3
298,-376.8,-237.6
299,-338.2,-216.5
300,-327.3,-256.7
301,-371.2,-266.9
302,-285.6,-271.8
303,-287.6,-349.2
304,-290.5,-261.3
305,-265.8,-266.4
306,-322.5,-318.1
307,-339.5,-312.6
308,-275,-242.6
309,-320.2,-292.9
310,-302.5,-247.8
311,-277.1,-216.3
312,-310,-213.7
313,-410.1,-289.9
314,-387,-212.1
315,-338.5,-221.4
316,-276.2,-355
317,-285.7,-284.1
318,-309.5,-226
319,-280.4,-261.9
320,-366.6,-251
321,-346.3,-197.9
322,-272.4,-291.5
323,-385,-301.2
324,-308.1,-254.7
325,-329.1,-337.4
326,-285.5,-224.4
327,-292.8,-192.3
328,-339.7,-284.9
329,-339.3,-257.6
330,-311.3,-251.6
331,-288.5,-232.8
332,-324.2,-208.9
333,-227,-264.2
334,-276.6,-206.6
335,-358.1,-232.5
336,-294,-249
337,-281.3,-262.4
338,-283.2,-234.1
339,-329,-251.4
340,-363.6,-267.8
341,-350,-229.7
342,-297.7,-274
343,-273.2,-264
344,-314.3,-265.6
345,-280.5,-266.6
346,-342,-298.4
347,-296.3,-218.1
348,-302.7,-246.8
349,-242.3,-285
350,-334.4,-249.9
351,-277,-289
352,-327.1,-257.3
353,-321.4,-290.2
354,-288.7,-204.7
355,-305.5,-265.3
356,-307.5,-280.1
357,-282,-274.5
358,-319.8,-327.6
359,-322.9,-204.2
360,-308.8,-237.7
361,-252.5,-235.1
362,-323.2,-248
363,-321.4,-265
364,-280.1,-274.7
365,-315.4,-217.6
366,-265.8,-242.5
367,-348.2,-276.5
368,-261.4,-267.3
369,-244,-249
370,-295.9,-321.7
371,-295.6,-223.5
372,-323.5,-225.1
373,-299.8,-270.2
374,-311,-230.6
375,-319.2,-248.2
376,-275.6,-283
377,-345.1,-236.2
378,-295.1,-273.1
379,-316.7,-262.4
380,-324.5,-225.4
381,-283.6,-284.9
382,-333.4,-243.2
383,-295.5,-297.8
384,-302.2,-255.8
385,-313.7,-251.7
386,-325.2,-201.1
387,-309.6,-210.2
388,-298.1,-312.8
389,-320.3,-169.3
390,-294.8,-263.6
391,-298.3,-240
392,-287.1,-152.7
393,-279.7,-239.1
394,-310,-248.1
395,-271.3,-263.6
396,-262.3,-284.8
397,-267.2,-252.8
398,-329.7,-202.6
399,-316.4,-230.9
400,-265.6,-193.2
401,-297.2,-244.7
402,-274.1,-210.2
403,-332.8,-226.3
404,-296.2,-228.2
405,-254.8,-229.4
406,-308.7,-215.4
407,-290.7,-264.4
408,-329.3,-169.2
409,-298,-262.6
410,-282.8,-182.5
411,-337.2,-277.8
412,-315.7,-288.9
413,-240.5,-206.7
414,-279.3,-238.1
415,-315.2,-237.3
416,-284.9,-183.2
417,-238.2,-290.6
418,-310.6,-262.8
419,-289.7,-341.6
420,-324.7,-282.5
421,-290.9,-213.7
422,-282.7,-264.1
423,-303.2,-246
424,-270.8,-292.5
425,-297.8,-274.1
426,-272.9,-265.6
427,-282,-266.7
428,-264.2,-211.4
429,-263.7,-244
430,-276.5,-202.7
431,-369.8,-237
432,-228,-245
433,-295,-218.9
434,-217.2,-241.9
435,-336.7,-185.1
436,-298.1,-206.4
437,-285.8,-173.1
438,-335.1,-236.4
439,-313.5,-215.9
440,-333.3,-280.9
