epoch,mpe_mpe-large-spread-v1_ac_att_JAMMAS_1 - episode_return,mpe_mpe-large-spread-v1_ac_att_JAMMAS_2 - episode_return,mpe_mpe-large-spread-v1_ac_att_JAMMAS_3 - episode_return,mpe_mpe-large-spread-v1_ac_att_JAMMAS_4 - episode_return
145,-363.6,-323.1,-328.5,-280.9
146,-305.7,-305.9,-362.5,-449.9
147,-359.1,-252.6,-330.8,-379.3
148,-337,-377.5,-350.2,-358.8
149,-351.2,-367.9,-323,-348.7
150,-340.9,-290.7,-401.3,-298.4
151,-378.9,-368.6,-379,-295
152,-325.3,-365.3,-294.9,-335.2
153,-350.1,-347.6,-362.2,-313.1
154,-347.8,-298,-363.7,-294.2
155,-354.5,-292.8,-335.5,-333.4
156,-332.4,-274.1,-303.3,-333.6
157,-344.1,-349.1,-365.3,-354.1
158,-240.7,-311.5,-313.5,-298.8
159,-264,-363.8,-306.2,-321.9
160,-331.2,-347.2,-338.1,-294.2
161,-299,-327,-309.7,-312.2
162,-340,-378.3,-343.6,-381.4
163,-359.5,-357,-332.1,-270
164,-371.1,-344,-324.2,-345.4
165,-398.4,-342.9,-303.4,-354.3
166,-367.1,-332,-342.9,-372.6
167,-293.9,-270,-310.1,-339.2
168,-288.1,-292.7,-238.5,-336.3
169,-396.7,-370.1,-363.1,-307.9
170,-342.8,-380,-304.4,-337.1
171,-406.4,-394.8,-331.7,-320.6
172,-320.4,-345.5,-369.5,-313
173,-365.8,-285.1,-357.7,-249.6
174,-313.4,-348.2,-318.7,-313.9
175,-357.7,-337.6,-398.5,-343.2
176,-335.9,-399.9,-360.6,-366.5
177,-281.4,-337.4,-336.2,-358.8
178,-274.1,-285.1,-328.3,-279.9
179,-339.6,-311,-294.2,-277
180,-282.1,-311.1,-302.5,-273.8
181,-316.8,-338,-313.6,-327.6
182,-344,-252.9,-290.3,-248
183,-346.7,-351.9,-356.6,-318.3
184,-287.3,-327.4,-348,-329.5
185,-366.2,-369.8,-318.6,-284.5
186,-399.6,-396.1,-306.7,-375.2
187,-321,-342.4,-331.2,-383.9
188,-344.7,-345.9,-268.3,-337.6
189,-319.5,-382.2,-344.9,-302.4
190,-394.6,-367.6,-322,-344.7
191,-296.4,-309.1,-284.6,-348.7
192,-293.9,-316.6,-347.7,-264.5
193,-305.1,-325.1,-287.5,-317.1
194,-350,-313.9,-266.3,-375
195,-317.6,-325.5,-313.9,-376.1
196,-339.5,-365.4,-284.9,-367.3
197,-349.5,-333.5,-310.4,-255.6
198,-350.4,-292.3,-291.1,-322.1
199,-307.1,-314,-313.1,-399.4
200,-262.4,-300.2,-255.1,-323.7
201,-320.6,-333.5,-340.3,-371.1
202,-334.1,-281,-226,-292.7
203,-382.2,-339.4,-326.8,-294.7
204,-313.9,-345.8,-306.5,-351.3
205,-260.3,-327.6,-287.6,-302.8
206,-356.6,-386.4,-276.8,-297.6
207,-339.1,-340.8,-364.2,-316.1
208,-322.4,-308.5,-284.1,-316.9
209,-332.7,-311.5,-305,-336.3
210,-257.3,-273.7,-256,-272.1
211,-277.8,-325.9,-294.3,-281.4
212,-284.7,-323.2,-351.5,-290.8
213,-282.6,-355.4,-294,-369.3
214,-364.7,-318.6,-246,-328.2
215,-319.4,-338.2,-287.1,-376.8
216,-258.7,-306.2,-346.4,-304.9
217,-275.8,-355.4,-312.9,-274.6
218,-389,-325.7,-291.5,-353.7
219,-398.2,-299.1,-332.4,-295.6
220,-365.1,-279.1,-246.7,-281.9
221,-233.6,-319,-265.2,-307.8
222,-351.1,-290.6,-270.8,-260.5
223,-292.7,-320.5,-276.5,-311.3
224,-320.5,-272.2,-254.5,-268.9
225,-297.5,-331.8,-300.1,-379.5
226,-286.2,-302.8,-240.4,-265.5
227,-273.1,-369,-309.9,-286.4
228,-317.7,-317.6,-346.1,-316.3
229,-280.5,-262.9,-268.6,-273.9
230,-289,-319.6,-243.2,-320.9
231,-289.6,-250.4,-265.3,-241.3
232,-258.1,-283.3,-212.1,-287.5
233,-318.4,-335.3,-234.3,-283.5
234,-316.2,-294.7,-293.1,-292
235,-246.7,-328.7,-299.5,-315.5
236,-309.5,-261.8,-230.8,-239.6
237,-313.1,-285.5,-259.1,-269.6
238,-306.2,-314.8,-270.2,-292.3
239,-301.6,-256.2,-292.5,-306.2
240,-319.5,-258.5,-266.1,-281.8
241,-335.6,-300.1,-283.6,-238.5
242,-345.5,-244.2,-302.2,-356.4
243,-342.5,-270.4,-272.3,-299.4
244,-321,-259.3,-308.3,-255.5
245,-261.4,-286,-238.3,-267
246,-264.4,-264.6,-275.9,-315.7
247,-210.8,-266.8,-271.1,-278.8
248,-237.6,-269.2,-196.3,-246.4
249,-244.4,-263.1,-305.3,-302.8
250,-321.7,-267.7,-306.5,-239.5
251,-364.7,-273.1,-327.8,-271.2
252,-292.7,-301,-271,-278.7
253,-312.6,-270.5,-256.8,-296.8
254,-241.8,-257.6,-244.4,-330.1
255,-278.7,-240.7,-217.2,-242.4
256,-242.7,-232.4,-222.3,-278.1
257,-288.9,-302.2,-269.2,-285.6
258,-222.1,-291.2,-208.3,-268.5
259,-295.9,-281.6,-228.8,-264.6
